#{"t_start": 1781184886.0506666, "env_id": "relocate-v1"}
r,l,t,solved
-4.759973,118,169.792529,False
-1.894637,49,170.042683,False
-1.621001,46,170.297483,False
-1.485161,35,170.484671,False
-6.377098,200,171.578771,False
-7.262781,200,172.667675,False
-7.532689,200,173.762366,False
-7.644344,200,174.86015,False
-8.19276,200,175.945511,False
-8.555615,200,176.980724,False
-9.437714,200,178.074858,False
-0.609724,17,178.168079,False
-3.314084,72,178.57026,False
-9.687505,200,179.648189,False
-8.932721,200,180.696503,False
-4.251065,82,181.135192,False
-2.752434,58,181.449984,False
-0.543591,16,181.537601,False
-0.546428,16,181.625104,False
-9.656447,200,182.731261,False
-0.549542,17,182.827745,False
-4.008838,88,183.282254,False
-9.063317,200,184.318412,False
-9.143942,200,185.403533,False
-5.474739,96,185.91645,False
-8.52425,200,186.956576,False
-8.675819,200,188.021692,False
-2.885681,55,188.32809,False
-8.85383,200,189.40756,False
-8.299043,200,190.502572,False
-9.482492,200,191.557603,False
-8.05341,200,192.602655,False
-9.631285,200,193.64843,False
-10.058591,200,194.698536,False
-1.398899,30,194.846735,False
-1.215921,29,194.989351,False
-4.516343,86,195.415558,False
-0.845767,16,195.499671,False
-0.974274,17,195.585091,False
-3.568228,77,195.976153,False
-1.220173,20,196.078003,False
-1.111998,26,196.206028,False
-1.389371,25,196.328758,False
-3.239615,56,196.604732,False
-8.697633,200,197.651389,False
-6.522611,200,198.657494,False
-8.494145,200,199.687628,False
-7.143347,200,200.723078,False
-8.633278,200,201.772235,False
-6.847772,200,202.840464,False
-7.549918,200,203.92397,False
-5.597978,125,204.579375,False
-8.909033,200,205.634549,False
-7.830462,200,206.6413,False
-7.128391,200,207.713817,False
-9.549226,200,208.793453,False
-7.509808,200,209.821341,False
-8.488933,200,210.853764,False
-8.831589,200,211.938269,False
-7.376466,200,212.993347,False
-6.75423,200,214.067008,False
-6.632686,200,215.166299,False
-5.241614,200,216.258787,False
4.175323,200,217.326709,False
-4.4924,111,217.937109,False
-7.876239,200,219.001122,False
-0.614049,12,219.068971,False
-7.008526,200,220.123766,False
-2.939307,66,220.492724,False
-7.571024,200,221.569331,False
-9.365405,200,222.602782,False
-8.352359,200,223.652255,False
-9.440905,175,224.552584,False
-0.827639,18,224.651944,False
-9.541457,200,225.687237,False
-1.050252,20,225.785134,False
-10.102031,200,226.797814,False
-10.323943,200,227.8715,False
-9.406757,200,228.908175,False
